Lake,Core,Time_median,Period,DNA.total.conc
Pounui,Depocenter,2021,European,52.2
Pounui,Depocenter,2018,European,40
Pounui,Depocenter,2011,European,40.8
Pounui,Depocenter,2005,European,48.3
Pounui,Depocenter,1998,European,37.6
Pounui,Depocenter,1991,European,32.4
Pounui,Depocenter,1983,European,30.7
Pounui,Depocenter,1975,European,27.5
Pounui,Depocenter,1968,European,23.6
Pounui,Depocenter,1952,European,24.8
Pounui,Depocenter,1937,European,27.8
Pounui,Depocenter,1922,European,22.8
Pounui,Depocenter,1907,European,18.1
Pounui,Depocenter,1895,European,18.4
Pounui,Depocenter,1884,European,8.49
Pounui,Depocenter,1876,European,9.97
Pounui,Depocenter,1863,European,6.71
Pounui,Depocenter,1855,European,7.56
Pounui,Depocenter,1848,European,10.3
Pounui,Depocenter,1804,Maori,10.6
Pounui,Depocenter,1734,Maori,5.52
Pounui,Depocenter,1661,Maori,3.44
Pounui,Depocenter,1575,Maori,2.68
Pounui,Depocenter,1482,Maori,2.52
Pounui,Depocenter,1400,Prehuman,4.8
Pounui,Depocenter,1351,Prehuman,4.8
Pounui,Depocenter,1324,Prehuman,4.21
Pounui,Depocenter,1306,Prehuman,2.96
Pounui,Depocenter,1278,Prehuman,2.06
Pounui,Depocenter,1242,Prehuman,4.53
Pounui,Nearshore,2021,European,60.4
Pounui,Nearshore,2019,European,62.7
Pounui,Nearshore,2018,European,53.5
Pounui,Nearshore,2016,European,37.9
Pounui,Nearshore,2014,European,27.7
Pounui,Nearshore,2007,European,22.3
Pounui,Nearshore,1999,European,19.9
Pounui,Nearshore,1991,European,14.1
Pounui,Nearshore,1976,European,8.84
Pounui,Nearshore,1964,European,15.8
Pounui,Nearshore,1903,European,9.75
Pounui,Nearshore,1897,European,10.7
Pounui,Nearshore,1888,European,11.8
Pounui,Nearshore,1880,European,10.2
Pounui,Nearshore,1874,European,9.29
Pounui,Nearshore,1868,European,7.55
Pounui,Nearshore,1862,European,6.59
Pounui,Nearshore,1857,European,8.03
Pounui,Nearshore,1851,European,6.67
Pounui,Nearshore,1823,Maori,8.2
Pounui,Nearshore,1749,Maori,6.09
Pounui,Nearshore,1702,Maori,4.68
Pounui,Nearshore,1599,Maori,3.55
Pounui,Nearshore,1495,Maori,2.98
Pounui,Nearshore,1445,Maori,2.31
Pounui,Nearshore,1336,Prehuman,1.84
Pounui,Nearshore,1282,Prehuman,1.69
Pounui,Nearshore,1137,Prehuman,1.95
Pounui,Nearshore,907,Prehuman,0.005
Pounui,Nearshore,731,Prehuman,0.005
